Model name| time | MSE  | lambda | learning rate | layers | number of neurons | epochs   |
-------------------------------------------------------------------------------------------
Sigmoid   |  21.6 | 0.017|  0.01  |     0.0005     |   1    |        20         |   500   |      |   3000   |
Sigmoid   |  20.9 | 0.013|  0.001  |     0.0005     |   1    |        20         |   500   |      |   3000   |
Sigmoid   |  20.3 | 0.013|  0.0001  |     0.0005     |   1    |        20         |   500   |      |   3000   |
Sigmoid   |  21.3 | 0.015|  1e-05  |     0.0005     |   1    |        20         |   500   |      |   3000   |
Sigmoid   |  21.6 | 0.013|  1e-06  |     0.0005     |   1    |        20         |   500   |      |   3000   |
Sigmoid   |  17.7 | 0.094|  10.0  |     0.0005     |   2    |        5         |   500   |      |   3000   |
Sigmoid   |  7.9 | 0.094|  1.0  |     0.0005     |   2    |        5         |   500   |      |   3000   |
Sigmoid   |  8.1 | 0.094|  0.1  |     0.0005     |   2    |        5         |   500   |      |   3000   |
Sigmoid   |  8.5 | 0.021|  0.01  |     0.0005     |   2    |        5         |   500   |      |   3000   |
Sigmoid   |  7.9 | 0.016|  0.001  |     0.0005     |   2    |        5         |   500   |      |   3000   |
Sigmoid   |  8.1 | 0.013|  0.0001  |     0.0005     |   2    |        5         |   500   |      |   3000   |
Sigmoid   |  8.4 | 0.013|  1e-05  |     0.0005     |   2    |        5         |   500   |      |   3000   |
Sigmoid   |  8.4 | 0.013|  1e-06  |     0.0005     |   2    |        5         |   500   |      |   3000   |
Sigmoid   |  33.9 | 0.094|  10.0  |     0.0005     |   2    |        10         |   500   |      |   3000   |
Sigmoid   |  10.9 | 0.094|  1.0  |     0.0005     |   2    |        10         |   500   |      |   3000   |
Sigmoid   |  11.3 | 0.094|  0.1  |     0.0005     |   2    |        10         |   500   |      |   3000   |
Sigmoid   |  11.2 | 0.021|  0.01  |     0.0005     |   2    |        10         |   500   |      |   3000   |
Sigmoid   |  11.3 | 0.013|  0.001  |     0.0005     |   2    |        10         |   500   |      |   3000   |
Sigmoid   |  11.4 | 0.013|  0.0001  |     0.0005     |   2    |        10         |   500   |      |   3000   |
Sigmoid   |  11.3 | 0.013|  1e-05  |     0.0005     |   2    |        10         |   500   |      |   3000   |
Sigmoid   |  11.3 | 0.013|  1e-06  |     0.0005     |   2    |        10         |   500   |      |   3000   |
Sigmoid   |  112.5 | 0.094|  10.0  |     0.0005     |   2    |        20         |   500   |      |   3000   |
Sigmoid   |  28.3 | 0.094|  1.0  |     0.0005     |   2    |        20         |   500   |      |   3000   |
Sigmoid   |  32.3 | 0.094|  0.1  |     0.0005     |   2    |        20         |   500   |      |   3000   |
Sigmoid   |  30.7 | 0.021|  0.01  |     0.0005     |   2    |        20         |   500   |      |   3000   |
Sigmoid   |  30.6 | 0.013|  0.001  |     0.0005     |   2    |        20         |   500   |      |   3000   |
Sigmoid   |  30.4 | 0.013|  0.0001  |     0.0005     |   2    |        20         |   500   |      |   3000   |
Sigmoid   |  30.9 | 0.012|  1e-05  |     0.0005     |   2    |        20         |   500   |      |   3000   |
Sigmoid   |  29.1 | 0.013|  1e-06  |     0.0005     |   2    |        20         |   500   |      |   3000   |
